id,pregunta
d7c4ce5eda85cd602edc71a3f29193e0,¿Dónde puedo reportar una fuga de agua?
c6b1388a0227cae6d6045a1dc7dd82c5,¿Qué debo hacer si veo una fuga de agua en la calle?
b9e493259e0b9fb9f94e4f4d66ab8ded,¿Qué debo hacer si veo una fuga de agua en mi casa?
5229ec6562607f2de830a7826a099964,¿Qué debo hacer si mi consumo de agua parece haberse elevado?
9055d52c36234595f93430ca60610b82,¿Cuánto tiempo tarda en repararse una fuga de agua?
34f49a09c09f373422893abead2bad4e,¿Dónde puedo reportar una fuga de agua?
221e2b757cee67a9babd822666eae6b1,¿Cómo reportar fugas de agua en CDMX?
deb8c6e4cf607cabc9fd72178b45daae,¿Qué otro de reportes puedo realizar?
977ff53e8650679587f99ee537c8b095,¿Qué debo tener en cuenta para levantar mi reporte?
e118293c4450a72349aa684baa54f5eb,¿Puedo reportar fugas en unidades habitacionales?
edb019b4dbee72a582d41a5d60234bdd,¿Qué hacer si tengo problemas con el suministro de agua potable?
